	Protein1	Protein2	spearman_erythrocyte	Spearman_all	Pearson_all
0	A0A5K1K7U1	O77396	1.0	0.9752964426877472	0.9966775504472392
1	Q8I0V2	Q8IIM8	-0.07142857142857144	0.22826086956521738	0.9436970753153655
2	O96153	Q7K6A9	0.9761904761904763	0.974308300395257	0.9989795483695715
3	P61074	Q8I3A1	0.9523809523809524	0.9673913043478262	0.9812577435731789
4	C0H4C7	Q8IDG3	0.9285714285714287	0.8764822134387351	0.9687939614892667
5	Q8IIX0	Q8ILK3	0.9523809523809524	0.7835968379446642	0.9458348940959233
6	C6KT18	C6KT19	0.023809523809523815	0.6561264822134387	0.9252873740281513
7	Q8IBS3	Q8IIA4	0.3571428571428572	0.7994071146245059	0.8836128395314251
8	C0H5H0	O97282	-0.09523809523809526	0.5039525691699606	0.6055223040907278
9	Q8I4T3	Q8IBN4	0.04761904761904763	0.7361660079051384	0.8105370684320345
10	A0A144A3N9	O77381	0.9047619047619048	0.8043478260869565	0.8560034797999504
11	Q8IKK7	Q8ILL3	0.6666666666666669	0.8833992094861661	0.9523843705312157
12	Q8I544	Q8IJ56	0.7380952380952381	0.2841611156678096	0.23080575279821827
13	C6KT19	Q8ILL2	-0.6666666666666669	-0.043478260869565216	0.7828324041925127
14	Q8I2X4	Q8II43	0.261904761904762	0.6719367588932806	0.6005301369511895
15	Q6ZMA7	Q8IL02	0.880952380952381	0.5701581027667983	0.9107926977530485
16	Q8IC01	Q8IDK7	0.7142857142857144	0.9199604743083004	0.984902060361805
17	A0A5K1K8V8	Q8IAX8	0.5476190476190477	0.7806324110671937	0.9704767965713841
18	Q8IDG2	Q8II43	0.3571428571428572	0.6195652173913044	0.7818685102354528
19	A0A144A3N9	Q8IB24	0.6428571428571429	0.7104743083003953	0.8101869328909076
20	Q8I323	Q8ILE3	0.8095238095238096	0.8428853754940712	0.9472145834067285
21	K7NTP5	Q8IAX8	0.9047619047619048	0.8883399209486167	0.8024894343905473
22	O97227	Q8I0X1	0.5000000000000001	0.5553359683794467	0.7974485255187087
23	O00806	Q8IIB4	1.0	0.8903162055335968	0.9891276016715665
24	C6KT23	Q8IJC6	0.8333333333333335	0.9644268774703558	0.9972141369062942
25	A0A5K1K7U1	Q8IDG2	0.9761904761904763	0.9920948616600791	0.988209840474737
26	Q8I4U5	Q8ILL3	0.11904761904761905	0.3448616600790514	0.7811721739775498
27	O97320	Q8IDB0	-0.9047619047619048	0.13043478260869565	0.6722712401141029
