Number	Proteins	avg_spearman	size	avg_spearman_random	significant	large
0	{'O96230', 'Q8IKB2', 'C0H5H0', 'C0H4Y6', 'Q8I2V9', 'Q8IIV8'}	0.500197628458498	6	0.3710609428486931	True	True
1	{'Q8IDZ9', 'Q8ILP6', 'Q8IIW2', 'Q8IIA4', 'Q8IBS3', 'Q8I246'}	0.8730566534914364	6	0.38456819834218464	True	True
2	{'Q8IM10', 'O97285', 'Q8IJX8', 'Q9TY99', 'Q8IIM8', 'Q8IB24', 'Q8IL58', 'Q8IE10', 'O97313', 'Q8IDN6', 'Q8IJC6', 'C6KT18', 'A0A5K1K8V8', 'C0H4A6', 'Q6ZMA8', 'C6KT19', 'Q8IEQ1', 'Q8ID28', 'Q8IDR9', 'Q8IK15', 'Q8I431', 'Q8IIU8', 'Q8IAX8', 'Q8IKM5', 'C6KT25', 'Q8IJ34', 'Q8IKW5', 'Q8IIV2', 'Q8IJM9', 'Q8ILK3', 'Q8IAX5', 'Q8IEK3', 'Q8I4U5', 'Q8IDK7', 'O00806', 'Q8I0V2', 'O97249', 'Q8IKR1', 'Q8IKX4', 'C0H4L1', 'Q8ILI2', 'Q6ZMA7', 'Q8IL02', 'Q8IIA2', 'Q8IIV1', 'Q8IAX6', 'Q8I5H4', 'O77381', 'Q8IDB0', 'Q8IET7', 'Q8I487', 'Q8I3R0', 'Q8IBV7', 'Q8I0P6', 'Q8IIB4', 'Q8II61', 'Q8IBY4', 'Q8IJV6', 'K7NTP5', 'Q8IKH8', 'Q8ILL3', 'Q8I3T8', 'C6KT23', 'Q8ILL2', 'C0H5C2'}	0.5167119565217392	65	0.39938984748188977	True	True
3	{'Q8IDS0', 'Q8IEP9', 'Q76NM6', 'Q8I2H3', 'Q8I280', 'Q6ZMA8', 'Q8IE84'}	0.7346602672689629	7	0.4244328045042854	True	True
4	{'Q8I3J0', 'Q8ILI6', 'Q8I5H2', 'Q8IIR7', 'C0H4U4', 'Q8I2W3', 'Q8I608'}	0.4114906832298137	7	0.38967598880339627	True	True
5	{'A0A5K1K7U1', 'C0H4C7', 'O96220', 'Q8I0U7', 'Q8IBR6', 'Q8IKC9', 'Q8IK90', 'Q8IDG2', 'Q7K6A9', 'O97282', 'Q8IBI3', 'O77323', 'Q8II82', 'Q8IJA0', 'Q8IJN9', 'Q8IIJ6', 'Q8I5C4', 'O77396', 'Q8IDG3', 'Q8IAR3', 'A0A5K1K9F3', 'C0H5I7', 'C6KST5', 'Q8IJT1', 'O96153', 'Q8I261', 'C6KT34', 'Q8I6T3', 'Q8II43', 'O97247', 'Q8IDZ8', 'Q8IJM0', 'Q8II71', 'Q8IJW0', 'C6KST3'}	0.8004699903676886	35	0.395561032389593	True	True
6	{'Q8II80', 'Q8I3I6', 'Q8I2X4', 'Q8ILG6'}	0.6816534914361001	4	0.39909468366099204	True	True
7	{'C6KSV3', 'Q8IEJ6', 'Q8IFP3', 'C6KTA3', 'P61076', 'Q8IBM9', 'O97227', 'Q8IEA6', 'Q8I0X1'}	0.40730676328502424	9	0.38966316453543953	True	True
8	{'Q8III5', 'Q7KQL5', 'Q8I0V4', 'Q9TY94', 'Q8IKF0', 'A0A5K1K910'}	0.489262187088274	6	0.4121838555156206	True	True
9	{'C6KSV3', 'Q8IEJ6', 'P61076', 'O97227', 'Q8IEA6', 'Q8I0X1', 'Q8IL11'}	0.46183888575192933	7	0.42446813719182713	True	True
10	{'C0H571', 'Q8I484', 'Q8I2X3', 'C6KSV8', 'Q8IBN4', 'Q8I5J2'}	0.42127799736495386	6	0.39892810708258836	True	True
11	{'Q8IHY0', 'Q8IC01', 'Q8IDE7', 'A0A5K1K963', 'Q8III6', 'Q8ILC1', 'Q8I3J0'}	0.7050159984942593	7	0.3848431426659014	True	True
12	{'Q8IKT2', 'Q7KQL9', 'Q8IFP3', 'C6KTA3', 'C0H5I7', 'O97247', 'Q8I374', 'Q8ID43', 'Q8IIG6', 'Q8II24', 'Q8ILA4', 'Q8IDF6', 'Q8IJN9', 'Q6ZLZ9', 'Q8ILQ7', 'Q8I5C4', 'O97282'}	0.5928563124854686	17	0.39198444652589215	True	True
13	{'Q8I476', 'Q9TY99', 'Q8IBB9', 'Q8IIF0', 'Q8II72', 'Q8IKY4', 'Q8IBN4', 'Q8I2F2', 'Q8IJ76', 'Q8I2F4', 'Q8I4T3', 'C6S3H3', 'Q8IM45', 'Q8IKC8', 'Q8I0U8', 'C0H571', 'Q8IFM0', 'Q8IIX5', 'Q8I490', 'Q8IFM9', 'Q8IJF6', 'Q6ZMA7'}	0.19970312954502678	22	0.3954069548645098	False	True
14	{'Q8IKJ0', 'Q8IJM9', 'Q8IBV7', 'Q8IJ28'}	0.5036231884057971	4	0.4126850844766318	True	True
15	{'Q8IEQ1', 'Q8I5M9', 'Q8ILE3', 'Q8IKH3', 'Q8IJM0', 'Q8IAR6', 'Q8I1V1', 'Q8IC05'}	0.7580815923207228	8	0.4219357219508744	True	True
16	{'Q8IB14', 'Q8I2I2', 'Q8I0V4', 'Q8IKQ9', 'Q8I463'}	0.5653162055335968	5	0.4049588518648629	True	True
17	{'Q8IKT2', 'Q8I3X4', 'Q76NM3', 'Q8III8', 'Q8I5P5', 'C6KT25', 'Q8IE66', 'Q8I5B6', 'P50250'}	0.4893774703557312	9	0.393140438951746	True	True
18	{'C0H4V6', 'Q8ILI6', 'Q8I5H2', 'Q76NM3', 'Q8IIG6', 'Q76NN6', 'A0A144A3N9', 'Q8I5Y9', 'Q8ILB6'}	0.5163043478260869	9	0.3931794947850755	True	True
19	{'A0A143ZY58', 'Q8I1S0', 'Q8IM66', 'Q8IKH3'}	0.7969367588932808	4	0.38885636367464843	True	True
20	{'Q8IK89', 'Q8ILZ7', 'O97306', 'Q8IJX3'}	0.38702239789196313	4	0.39685120180233413	False	True
21	{'Q8IJS2', 'Q8IKX4', 'Q76NM6', 'Q8I2I2'}	0.5643939393939393	4	0.4171341747988609	True	True
22	{'Q8IEU2', 'Q8IC43', 'Q8IL75', 'Q8I2I2', 'Q8I3N3', 'Q8IBN4'}	0.3791172595520422	6	0.4074550047887162	False	True
23	{'Q8IB14', 'Q8IIX0', 'O97249', 'Q8IJ34', 'Q8I0V4', 'A0A144A1R5', 'Q8IKK7', 'Q8IKQ9', 'Q8I463'}	0.49626701800614853	9	0.40222556118934305	True	True
24	{'Q8IK89', 'Q8IKP1', 'O97285', 'O97306', 'Q8ILZ7', 'Q8I5H4'}	0.3944005270092227	6	0.39761813996286627	False	True
25	{'Q8IFP2', 'Q8IJS2', 'Q76NM6', 'Q7KQL5', 'Q8I320', 'Q8IC05'}	0.41660079051383403	6	0.40664107960538104	True	True
26	{'Q8IAM2', 'Q7KQL8', 'Q8ILX1', 'Q8IL80'}	0.616600790513834	4	0.3699399895557051	True	True
27	{'Q8IHR8', 'Q76NM4', 'Q8I6U6', 'C0H516', 'Q8I492'}	0.40069169960474305	5	0.3953444562934091	True	True
28	{'Q8I467', 'Q8I3A1', 'P61074', 'C0H4U4', 'Q7KQJ9'}	0.4322134387351778	5	0.4295049245945045	True	True
29	{'Q8IB31', 'O97320'}	0.6788537549407114	2	0.4668729777453768	True	False
30	{'C0H4C7', 'Q8I3Y6', 'Q8IBZ4', 'Q8I3A4', 'Q8II82', 'Q8IBR6', 'Q8ILS7'}	0.8793995859213252	7	0.39504673307261595	True	True
31	{'A0A5K1K967', 'C6KTA3', 'Q8IL48', 'C6KSV2'}	0.7952898550724639	4	0.36719212971670806	True	True
32	{'Q8I3N3', 'O96252', 'C6S3G2', 'C6KT09'}	0.7470355731225298	4	0.3972001362170474	True	True
33	{'Q8I5L6', 'O96221', 'Q8I5B3', 'Q8I1S0', 'Q8ILX1', 'Q8IB60'}	0.49631093544137017	6	0.38632232197121047	True	True
34	{'Q8IKW0', 'Q8IK83', 'Q8IM24', 'Q8IKS0'}	0.8143939393939394	4	0.38088854124087423	True	True
35	{'P27362', 'Q8IE67', 'Q8IIR8'}	0.3791172595520422	3	0.4066188336038209	False	True
