Gene ID	source_id	scaled sense - 40-5 hours post-invasion - unique only	scaled sense - 2-10 hours post-invasion - unique only	scaled sense - 7-15 hours post-invasion - unique only	scaled sense - 12-20 hours post-invasion - unique only	scaled sense - 17-25 hours post-invasion - unique only	scaled sense - 22-30 hours post-invasion - unique only	scaled sense - 27-35 hours post-invasion - unique only	scaled sense - 32-40 hours post-invasion - unique only	Gene Name or Symbol	sense - T05 - unique only	sense - T10 - unique only	sense - T15 - unique only	sense - T20 - unique only	sense - T25 - unique only	sense - T30 - unique only	sense - T35 - unique only	sense - T40 - unique only	3D7 2020 sense - 0hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 8hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 16hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 24hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 32hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 40hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 48hr 3D7 DAFT-seq - unique only
PF3D7_0100100	PF3D7_0100100.1	32.27	6.52	3.73	5.9	40.07	47.25	65.53	232.48	VAR	18.85	7.12	4.69	7.4	8.64	6.11	8.96	27.53	17.06	25.51	19.93	13.46	17.01	25.62	23.97
PF3D7_0100200	PF3D7_0100200.1	16.41	10.43	13.72	11.04	17.07	23.34	39.32	247.23	RIF	6.53	3.15	4.49	3.29	1.65	2.8	6.03	17.66	0.3	2.25	6.25	2.5	1.3	1.17	1.61
PF3D7_0100300	PF3D7_0100300.1	0.08	0.32	0.2	0.26	0.9	1.88	0.89	0.37	VAR	0.14	0.36	0.35	0.06	0.05	0	0.05	0.54	1.86	5.23	3.34	0.62	0.22	0.24	2.02
PF3D7_0100400	PF3D7_0100400.1	1.02	0.57	0.73	0.31	0.46	2.01	7.16	51.55	RIF	2.27	0.51	0	0.21	0	0.19	1.73	1.94	0.53	0.6	3.45	1.29	0.77	0.63	0.41
PF3D7_0100500	PF3D7_0100500.1	0	0	0	0	0	0	0	0	N/A	0	0	0	0	0	0	0	6.45	0	0	0	0	0	2.08	0
PF3D7_0100600	PF3D7_0100600.1	0	0.24	0	0.21	0	0	0	0	RIF	0	0	0	0	0	0	0	0.22	0.28	0.21	0.99	0.19	0	0.22	0.42
PF3D7_0100700	PF3D7_0100700.1	0	0	0	0	0	0	0	0	N/A	0	0	0	0	0	0	0	1.18	0	0	0	0	0	0	0
PF3D7_0100800	PF3D7_0100800.1	0	0	0	0	0.5	0	0	0.71	RIF	0	0	0	0	0	0	0	0.7	0	0	0.21	0.2	0.21	0	0
PF3D7_0100900	PF3D7_0100900.1	0.16	0	0.15	0	0.49	4.27	0	0	RIF	0	0	0.8	0	0	0	0	1.14	0.28	0.42	1.83	0.98	1.02	0.22	0.87
PF3D7_0101000	PF3D7_0101000.1	0.15	0.36	0.6	0.21	1.43	0.7	0	0.69	RIF	0	0.26	0	0.43	0	0	0	0	0.27	0.83	0.4	0.57	0	0	0.43
PF3D7_0101100	PF3D7_0101100.1	0	0.14	0.52	0.12	0	0	0	0	EPF4	0	0	0	0	0	0	0	0	3.5	4.09	4.15	0.89	0.23	0.25	2.22
PF3D7_0101200	PF3D7_0101200.1	0	0.19	0	0	0	0	0	0	EPF3	0	0.41	0	0	0.3	0	0	0	2.14	0.32	1.24	0	0	0	0.67
PF3D7_0101300	PF3D7_0101300.1	0.13	0	0	0	0.42	1.22	1.44	0.6	MC-2TM	0.69	0	0.23	0.38	0.67	0	0.17	0.98	1.92	4.36	41.11	25.89	4.54	2.09	1.12
PF3D7_0101400	PF3D7_0101400.1	0	0	0	0	0	0	0	0	EPF1	0	0	0	0	0	0	0	0	0.36	0.27	1.04	0	0.26	0	0.56
PF3D7_0101500	PF3D7_0101500.1	0	0	0	0	0	0	0	0.45	VAR	0	0	0	0	0	0	0	0.15	0.18	0.27	0.39	0.13	0	0.14	0.14
PF3D7_0101600	PF3D7_0101600.1	0.15	0.92	1.17	0.73	0.93	0	3.21	2	RIF	0	0.51	0.25	0	0	0	0	1.74	0.8	0.81	3.87	1.12	0.2	1.47	1.45
PF3D7_0101700	PF3D7_0101700.1	0	0	0	0	0	0.55	0.65	0	VAR	0	0	0	0	0	0	0.16	0.18	0	0.33	0.32	0.15	0	0.34	0
PF3D7_0101800	PF3D7_0101800.1	0.38	0.15	0.75	0	0	0	0	0	N/A	0	0	0	0	0	0	0	0	1.03	1.29	0.49	0.71	0.25	0.27	1.32
PF3D7_0101900	PF3D7_0101900.1	0.48	3.73	1.26	1.35	1	0.73	0.86	0	RIF	0	1.38	0.27	0	0	0	0	2.33	0.86	2.82	2.7	0	0.42	1.13	1.78
PF3D7_0102000	PF3D7_0102000.1	0.43	0.17	0.86	0.15	0	0	0	0	N/A	0.74	1.88	1.1	1.23	0	0.85	0.57	7.62	1.95	1.76	0.57	1.36	0.28	0.92	1.82
PF3D7_0102100	PF3D7_0102100.1	0	1.06	0.38	0.68	3.04	7.09	3.16	2.62	N/A	0.33	0.34	0	0.28	0.97	1.01	0.51	5.69	0	0.26	1.01	0.49	0.26	0	0
