	index	Protein1	Protein2	Score	Description1	Description2	Protein_1_clusters	Protein_2_clusters	Any Matching Go-Terms?	Train/Val/Test	Experimental P. Falciparum	P. Falciparum	P. Knowlesi	P. Berghei	P. Vivax	P. Yoelii	C. parvum	B. bovis	spearman_erythrocyte	Spearman_all	Pearson_all
0	494	A0A143ZX41	Q7KWJ2	0.9468098640441894	Merozoite surface protein 2	Merozoite surface protein 4	[32]	[32]	0	0	0	0	0	0	0	0	0	0	0.6666666666666669	0.8221343873517787	0.9306618862070393
1	529	A0A143ZY58	C0H4V6	0.9999318838119506	ADP-ribosylation factor 1	14-3-3 protein I	[2]	[10, 20]	0	0	0	0	1	1	1	1	1	1	0.7380952380952381	0.7075098814229249	0.9575349328513199
2	554	A0A143ZY58	K7NTP5	0.6038088619709014	ADP-ribosylation factor 1	Heat shock 70 kDa protein	[2]	[0, 2, 14, 18, 24]	0	0	0	0	0	0	0	0	0	0	-0.6666666666666669	-0.0958498023715415	0.3376443777231412
3	90	A0A143ZY58	Q7KQL5	0.8211259871721268	ADP-ribosylation factor 1	Tubulin beta chain	[2]	[2, 18]	1	0	0	0	0	1	1	1	1	1	0.7142857142857144	0.6245059288537549	0.9515496922016717
4	118	A0A143ZY58	Q8I0P6	0.845184326171875	ADP-ribosylation factor 1	Elongation factor 1-alpha	[2]	[0, 2, 18]	1	0	0	0	0	0	0	0	0	0	0.2142857142857143	0.3270750988142293	0.7199713577572413
5	139	A0A143ZY58	Q8IFP3	0.5409498492255806	ADP-ribosylation factor 1	Tubulin alpha chain	[2]	[2, 18]	1	0	0	0	1	1	1	1	1	0	0.2142857142857143	0.38241106719367585	0.8244359277365068
6	387	A0A143ZZK9	Q8IB24	0.5162679105997086	P-type sodium-transporting ATPase4	Heat shock 70 kDa protein	[]	[0, 10, 14, 24]	1	0	0	0	0	0	0	0	0	0	0.5000000000000001	0.43873517786561267	0.9670744621090805
7	402	A0A144A2H0	Q8II24	0.8403204798698425	Aminopeptidase P	Heat shock protein 70	[4, 10]	[4, 10, 16]	0	0	0	0	0	0	0	0	0	0	0.9523809523809524	0.9496047430830039	0.9536583338790912
8	436	A0A5K1K7U1	C6KST3	0.6037195086479187	Proteasome subunit beta	Proteasome subunit alpha type-2, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	0.9761904761904763	0.9515810276679842	0.9878544100872841
9	0	A0A5K1K7U1	O77396	0.9996333599090576	Proteasome subunit beta	Proteasome subunit alpha type-3, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	1.0	0.9752964426877472	0.9966775504472392
10	497	A0A5K1K7U1	Q7K6A9	0.5659467220306397	Proteasome subunit beta	Proteasome subunit beta	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	1.0	0.9436758893280633	0.9966454053371081
11	333	A0A5K1K7U1	Q8I0U7	0.5276215501129627	Proteasome subunit beta	Proteasome subunit beta type-6, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	0	1	0.9761904761904763	0.9318181818181819	0.9933044938062017
12	29	A0A5K1K7U1	Q8I261	0.7520615637302399	Proteasome subunit beta	Proteasome subunit beta	[1, 6]	[1, 6]	1	1	1	1	0	1	1	1	1	1	0.9761904761904763	0.9891304347826088	0.9975590046468579
13	159	A0A5K1K7U1	Q8IAR3	0.7904582031071186	Proteasome subunit beta	Proteasome subunit alpha type-6, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	0.9761904761904763	0.9624505928853755	0.9848803956413137
14	213	A0A5K1K7U1	Q8IBI3	0.8615920066833496	Proteasome subunit beta	Proteasome subunit alpha type	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	0.9523809523809524	0.9298418972332017	0.9847114086900322
15	11	A0A5K1K7U1	Q8IDG2	0.711460018157959	Proteasome subunit beta	Proteasome subunit alpha type	[1, 6]	[1, 6, 16]	1	1	1	1	1	1	1	1	1	1	0.9761904761904763	0.9920948616600791	0.988209840474737
16	127	A0A5K1K7U1	Q8IDG3	0.6616768673062324	Proteasome subunit beta	Proteasome subunit alpha type	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	0.9523809523809524	0.974308300395257	0.9854261368831676
17	165	A0A5K1K7U1	Q8IJT1	0.573606901243329	Proteasome subunit beta	Proteasome subunit beta	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	1.0	0.9673913043478262	0.996651651775584
18	36	A0A5K1K7U1	Q8IK90	0.5712116062641144	Proteasome subunit beta	Proteasome subunit alpha type-1, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	0	0.9523809523809524	0.9575098814229249	0.9877278379317698
19	95	A0A5K1K7X4	Q8IIF0	0.588723782543093	Early transcribed membrane protein 5	Exported protein 1	[26]	[26]	0	0	0	0	0	0	0	0	0	0	0.4761904761904762	0.6966403162055337	0.9665483688193222
