	index_x	Protein1	Protein2	Score_x	Description1_x	Description2_x	Protein_1_clusters_x	Protein_2_clusters_x	Any Matching Go-Terms?_x	Train/Val/Test_x	Experimental P. Falciparum_x	P. Falciparum_x	P. Knowlesi_x	P. Berghei_x	P. Vivax_x	P. Yoelii_x	C. parvum_x	B. bovis_x	index_y	Score_y	Description1_y	Description2_y	Protein_1_clusters_y	Protein_2_clusters_y	Any Matching Go-Terms?_y	Train/Val/Test_y	Experimental P. Falciparum_y	P. Falciparum_y	P. Knowlesi_y	P. Berghei_y	P. Vivax_y	P. Yoelii_y	C. parvum_y	B. bovis_y	spearman_erythrocyte	7_stages	intraerythrocyte_cycle	blood_stages	Spearman_all	Pearson_all
0	494	A0A143ZX41	Q7KWJ2	0.9468098640441894	Merozoite surface protein 2	Merozoite surface protein 4	[32]	[32]	0	0	0	0	0	0	0	0	0	0	494	0.9468098640441894	Merozoite surface protein 2	Merozoite surface protein 4	[32]	[32]	0	0	0	0	0	0	0	0	0	0	0.6666666666666669	0.7142857142857144	0.7619047619047621	0.8571428571428573	0.8133004926108373	0.9177472136787344
1	529	A0A143ZY58	C0H4V6	0.9999318838119506	ADP-ribosylation factor 1	14-3-3 protein I	[2]	[10, 20]	0	0	0	0	1	1	1	1	1	1	529	0.9999318838119506	ADP-ribosylation factor 1	14-3-3 protein I	[2]	[10, 20]	0	0	0	0	1	1	1	1	1	1	0.7380952380952381	0.5714285714285715	0.880952380952381	0.3214285714285715	0.8507389162561575	0.7990324673138514
2	554	A0A143ZY58	K7NTP5	0.6038088619709014	ADP-ribosylation factor 1	Heat shock 70 kDa protein	[2]	[0, 2, 14, 18, 24]	0	0	0	0	0	0	0	0	0	0	554	0.6038088619709014	ADP-ribosylation factor 1	Heat shock 70 kDa protein	[2]	[0, 2, 14, 18, 24]	0	0	0	0	0	0	0	0	0	0	-0.6666666666666669	-0.39285714285714296	-0.5952380952380953	-0.7857142857142859	0.027093596059113295	-0.21378554872582722
3	90	A0A143ZY58	Q7KQL5	0.8211259871721268	ADP-ribosylation factor 1	Tubulin beta chain	[2]	[2, 18]	1	0	0	0	0	1	1	1	1	1	90	0.8211259871721268	ADP-ribosylation factor 1	Tubulin beta chain	[2]	[2, 18]	1	0	0	0	0	1	1	1	1	1	0.7142857142857144	0.8571428571428573	0.6904761904761906	0.9285714285714288	0.6847290640394087	0.7620752160027635
4	118	A0A143ZY58	Q8I0P6	0.845184326171875	ADP-ribosylation factor 1	Elongation factor 1-alpha	[2]	[0, 2, 18]	1	0	0	0	0	0	0	0	0	0	118	0.845184326171875	ADP-ribosylation factor 1	Elongation factor 1-alpha	[2]	[0, 2, 18]	1	0	0	0	0	0	0	0	0	0	0.2142857142857143	-0.5714285714285715	0.0	-0.10714285714285716	0.20837438423645313	-0.0633224636906058
5	139	A0A143ZY58	Q8IFP3	0.5409498492255806	ADP-ribosylation factor 1	Tubulin alpha chain	[2]	[2, 18]	1	0	0	0	1	1	1	1	1	0	139	0.5409498492255806	ADP-ribosylation factor 1	Tubulin alpha chain	[2]	[2, 18]	1	0	0	0	1	1	1	1	1	0	0.2142857142857143	0.5	-0.11904761904761905	-0.642857142857143	-0.08719211822660097	-0.21666426502667432
6	387	A0A143ZZK9	Q8IB24	0.5162679105997086	P-type sodium-transporting ATPase4	Heat shock 70 kDa protein	[]	[0, 10, 14, 24]	1	0	0	0	0	0	0	0	0	0	387	0.5162679105997086	P-type sodium-transporting ATPase4	Heat shock 70 kDa protein	[]	[0, 10, 14, 24]	1	0	0	0	0	0	0	0	0	0	0.5000000000000001	0.9285714285714288	0.6190476190476191	0.1785714285714286	0.7413793103448275	0.6188789528303599
7	402	A0A144A2H0	Q8II24	0.8403204798698425	Aminopeptidase P	Heat shock protein 70	[4, 10]	[4, 10, 16]	0	0	0	0	0	0	0	0	0	0	402	0.8403204798698425	Aminopeptidase P	Heat shock protein 70	[4, 10]	[4, 10, 16]	0	0	0	0	0	0	0	0	0	0	0.9523809523809524	0.8571428571428573	0.8095238095238096	0.9642857142857145	0.8448275862068964	0.8304455157845757
8	436	A0A5K1K7U1	C6KST3	0.6037195086479187	Proteasome subunit beta	Proteasome subunit alpha type-2, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	436	0.6037195086479187	Proteasome subunit beta	Proteasome subunit alpha type-2, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	0.9761904761904763	0.6071428571428572	1.0	0.6785714285714287	0.968965517241379	0.9656397869089617
9	0	A0A5K1K7U1	O77396	0.9996333599090576	Proteasome subunit beta	Proteasome subunit alpha type-3, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	0	0.9996333599090576	Proteasome subunit beta	Proteasome subunit alpha type-3, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	1.0	0.7142857142857144	1.0	0.8928571428571429	0.9576354679802953	0.9765470807721284
10	497	A0A5K1K7U1	Q7K6A9	0.5659467220306397	Proteasome subunit beta	Proteasome subunit beta	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	497	0.5659467220306397	Proteasome subunit beta	Proteasome subunit beta	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	1.0	0.5357142857142858	1.0	0.8571428571428573	0.9290640394088666	0.944509679265344
11	333	A0A5K1K7U1	Q8I0U7	0.5276215501129627	Proteasome subunit beta	Proteasome subunit beta type-6, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	0	1	333	0.5276215501129627	Proteasome subunit beta	Proteasome subunit beta type-6, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	0	1	0.9761904761904763	0.6071428571428572	1.0	0.8214285714285715	0.9625615763546794	0.982144134099168
12	29	A0A5K1K7U1	Q8I261	0.7520615637302399	Proteasome subunit beta	Proteasome subunit beta	[1, 6]	[1, 6]	1	1	1	1	0	1	1	1	1	1	29	0.7520615637302399	Proteasome subunit beta	Proteasome subunit beta	[1, 6]	[1, 6]	1	1	1	1	0	1	1	1	1	1	0.9761904761904763	0.7500000000000002	1.0	0.8571428571428573	0.9630541871921181	0.963105344435847
